angaza_id,area,daily_price,upfront_price,expected_repayment_days,registration_date,free_days_included,product_group,country
AC9637750,Area B,30,400,402,1/8/24,3,Product 1,Kenya
AC9643075,Area A,30,400,402,1/8/24,3,Product 1,Kenya
AC9649937,Area A,30,400,402,1/9/24,3,Product 1,Kenya
AC9644305,Area A,30,400,402,1/9/24,3,Product 1,Kenya
AC9657243,Area A,30,400,402,1/10/24,3,Product 1,Kenya
AC9665055,Area A,30,400,402,1/11/24,3,Product 1,Kenya
AC9671816,Area A,30,400,402,1/12/24,3,Product 1,Kenya
AC9670728,Area A,30,400,402,1/12/24,3,Product 1,Kenya
AC9681214,Area A,40,750,402,1/14/24,3,Product 3,Kenya
AC9685179,Area B,30,400,402,1/15/24,3,Product 1,Kenya
AC9687541,Area B,30,400,402,1/15/24,3,Product 1,Kenya
AC9689630,Area B,80,1900,578,1/16/24,3,Product 2,Kenya
AC9701825,Area A,30,400,402,1/17/24,3,Product 1,Kenya
AC9705673,Area A,60,950,402,1/18/24,3,Product 3,Kenya
AC9711541,Area A,30,400,402,1/19/24,3,Product 1,Kenya
AC9724314,Area A,30,400,402,1/21/24,3,Product 1,Kenya
AC9730317,Area B,70,1300,402,1/22/24,3,Product 3,Kenya
AC9744233,Area A,30,400,402,1/24/24,3,Product 1,Kenya
AC9753314,Area A,30,400,402,1/26/24,3,Product 1,Kenya
AC9756620,Area A,30,400,402,1/26/24,3,Product 1,Kenya
AC9774428,Area A,30,400,402,1/29/24,3,Product 1,Kenya
AC9775579,Area A,30,400,402,1/29/24,3,Product 1,Kenya
AC9777323,Area B,30,400,402,1/30/24,3,Product 1,Kenya
AC9783820,Area A,30,400,402,1/31/24,3,Product 1,Kenya
AC9788828,Area B,30,350,402,1/31/24,3,Product 1,Kenya
AC9789697,Area A,30,400,402,1/31/24,3,Product 1,Kenya
AC9788933,Area A,30,400,402,1/31/24,3,Product 1,Kenya
AC9798276,Area A,30,400,402,2/1/24,3,Product 1,Kenya
AC9811371,Area A,30,400,402,2/3/24,3,Product 1,Kenya
AC9809660,Area A,40,750,402,2/3/24,3,Product 3,Kenya
AC9818325,Area B,30,400,402,2/4/24,3,Product 1,Kenya
AC9814758,Area A,30,400,402,2/4/24,3,Product 1,Kenya
AC9817809,Area A,80,1900,578,2/4/24,3,Product 2,Kenya
AC9823725,Area A,30,400,409,2/5/24,3,Product 1,Kenya
AC9825668,Area B,30,400,409,2/5/24,3,Product 1,Kenya
AC9826135,Area B,30,400,409,2/6/24,3,Product 1,Kenya
AC9844932,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9846586,Area B,60,850,409,2/8/24,3,Product 3,Kenya
AC9852297,Area A,30,400,409,2/9/24,3,Product 1,Kenya
AC9855409,Area A,30,400,409,2/9/24,3,Product 1,Kenya
AC9860504,Area A,30,400,409,2/9/24,3,Product 1,Kenya
AC9856609,Area A,90,2450,381,2/9/24,3,Product 5,Kenya
AC9864323,Area B,30,400,409,2/10/24,3,Product 1,Kenya
AC9866557,Area A,30,400,409,2/10/24,3,Product 1,Kenya
AC9867831,Area A,30,400,409,2/10/24,3,Product 1,Kenya
AC9869921,Area A,30,400,409,2/11/24,3,Product 1,Kenya
AC9870194,Area A,30,400,409,2/11/24,3,Product 1,Kenya
AC9873308,Area A,30,400,409,2/11/24,3,Product 1,Kenya
AC9883435,Area A,30,400,409,2/13/24,3,Product 1,Kenya
AC9890233,Area A,30,400,409,2/13/24,3,Product 1,Kenya
AC9895951,Area A,60,850,409,2/14/24,3,Product 3,Kenya
AC9906015,Area A,30,400,409,2/15/24,3,Product 1,Kenya
AC9911576,Area B,70,1200,409,2/16/24,3,Product 3,Kenya
AC9922363,Area A,60,850,409,2/17/24,3,Product 3,Kenya
AC9927486,Area A,30,400,409,2/18/24,3,Product 1,Kenya
AC9929318,Area A,30,400,409,2/18/24,3,Product 1,Kenya
AC9944926,Area A,30,400,409,2/20/24,3,Product 1,Kenya
AC9945497,Area A,30,400,409,2/20/24,3,Product 1,Kenya
AC9950941,Area A,30,400,409,2/21/24,3,Product 1,Kenya
AC9965012,Area A,30,400,409,2/22/24,3,Product 1,Kenya
AC9965787,Area A,30,400,409,2/22/24,3,Product 1,Kenya
AC9972729,Area A,30,400,409,2/23/24,3,Product 1,Kenya
AC9972845,Area A,30,400,409,2/23/24,3,Product 1,Kenya
AC9982951,Area B,30,400,409,2/25/24,3,Product 1,Kenya
AC9988313,Area A,30,400,409,2/26/24,3,Product 1,Kenya
AC9997236,Area A,30,400,409,2/27/24,3,Product 1,Kenya
AC9408554,Area A,90,2450,381,12/2/23,3,Product 5,Kenya
AC9411215,Area A,60,1200,402,12/3/23,3,Product 3,Kenya
AC9422152,Area A,30,400,402,12/5/23,3,Product 1,Kenya
AC9428435,Area A,30,400,402,12/5/23,3,Product 1,Kenya
AC9425004,Area A,30,400,402,12/5/23,3,Product 1,Kenya
AC9437836,Area A,30,400,402,12/7/23,3,Product 1,Kenya
AC9440199,Area A,30,400,402,12/7/23,3,Product 1,Kenya
AC9443943,Area A,40,750,402,12/8/23,3,Product 3,Kenya
AC9443948,Area B,60,950,402,12/8/23,3,Product 3,Kenya
AC9444902,Area A,30,400,402,12/8/23,3,Product 1,Kenya
AC9446998,Area A,30,400,402,12/8/23,3,Product 1,Kenya
AC9452840,Area A,30,400,402,12/9/23,3,Product 1,Kenya
AC9455442,Area B,80,1900,578,12/9/23,3,Product 2,Kenya
AC9457978,Area A,30,400,402,12/10/23,3,Product 1,Kenya
AC9466545,Area A,110,3000,381,12/11/23,3,Product 5,Kenya
AC9472175,Area A,160,6400,543,12/12/23,3,Product 7,Kenya
AC9472196,Area B,80,1900,578,12/12/23,3,Product 2,Kenya
AC9487621,Area A,30,400,402,12/14/23,3,Product 1,Kenya
AC9495522,Area A,30,400,402,12/15/23,3,Product 1,Kenya
AC9502862,Area A,30,400,402,12/16/23,3,Product 1,Kenya
AC9508698,Area A,30,400,402,12/17/23,3,Product 1,Kenya
AC9509023,Area A,30,400,402,12/17/23,3,Product 1,Kenya
AC9510909,Area A,30,400,402,12/18/23,3,Product 1,Kenya
AC9514259,Area A,30,400,402,12/18/23,3,Product 1,Kenya
AC9509653,Area B,70,700,333,12/18/23,3,Product 6,Kenya
AC9520037,Area A,30,400,402,12/19/23,3,Product 1,Kenya
AC9518952,Area A,30,400,402,12/19/23,3,Product 1,Kenya
AC9525837,Area A,30,400,402,12/20/23,3,Product 1,Kenya
AC9532503,Area B,70,1300,402,12/21/23,3,Product 3,Kenya
AC9540846,Area A,30,400,402,12/22/23,3,Product 1,Kenya
AC9548187,Area A,40,750,402,12/23/23,3,Product 3,Kenya
AC9549308,Area A,30,400,402,12/23/23,3,Product 1,Kenya
AC9557534,Area A,30,400,402,12/24/23,3,Product 1,Kenya
AC9557576,Area A,30,400,402,12/24/23,3,Product 1,Kenya
AC9559016,Area B,30,400,402,12/24/23,3,Product 1,Kenya
AC9560767,Area B,30,400,402,12/25/23,3,Product 1,Kenya
AC9560004,Area A,30,400,402,12/25/23,3,Product 1,Kenya
AC9563303,Area A,30,400,402,12/26/23,3,Product 1,Kenya
AC9569030,Area A,30,400,402,12/27/23,3,Product 1,Kenya
AC9570804,Area B,30,400,402,12/27/23,3,Product 1,Kenya
AC9580677,Area A,70,1300,402,12/28/23,3,Product 3,Kenya
AC9581191,Area A,30,400,402,12/28/23,3,Product 1,Kenya
AC9588399,Area B,30,400,402,12/29/23,3,Product 1,Kenya
AC9590247,Area A,30,400,402,12/30/23,3,Product 1,Kenya
AC9606079,Area A,30,400,402,1/2/24,3,Product 1,Kenya
AC9607116,Area B,30,400,402,1/2/24,3,Product 1,Kenya
AC9606195,Area A,30,400,402,1/2/24,3,Product 1,Kenya
AC9610762,Area A,30,400,402,1/3/24,3,Product 1,Kenya
AC9610138,Area B,30,400,402,1/3/24,3,Product 1,Kenya
AC9629304,Area B,30,400,402,1/6/24,3,Product 1,Kenya
AC9631754,Area A,30,400,402,1/6/24,3,Product 1,Kenya
AC9629089,Area B,80,1900,578,1/6/24,3,Product 2,Kenya
AC9633882,Area A,30,400,402,1/7/24,3,Product 1,Kenya
AC9642176,Area A,40,750,402,1/8/24,3,Product 3,Kenya
AC9637594,Area A,30,400,402,1/8/24,3,Product 1,Kenya
AC9644771,Area A,80,1900,578,1/9/24,3,Product 2,Kenya
AC9650197,Area A,30,400,402,1/9/24,3,Product 1,Kenya
AC9649653,Area B,90,2450,381,1/9/24,3,Product 5,Kenya
AC9657214,Area A,30,400,402,1/10/24,3,Product 1,Kenya
AC9657465,Area A,30,400,402,1/10/24,3,Product 1,Kenya
AC9657381,Area A,30,400,402,1/10/24,3,Product 1,Kenya
AC9665304,Area A,80,1900,53,1/11/24,3,Product 2,Kenya
AC9671425,Area A,30,400,402,1/12/24,3,Product 1,Kenya
AC9666078,Area B,30,400,402,1/12/24,3,Product 1,Kenya
AC9671644,Area A,30,400,402,1/12/24,3,Product 1,Kenya
AC9676245,Area B,80,1900,578,1/13/24,3,Product 2,Kenya
AC9673076,Area A,30,400,402,1/13/24,3,Product 1,Kenya
AC9682556,Area A,30,400,402,1/14/24,3,Product 1,Kenya
AC9684565,Area A,30,400,402,1/15/24,3,Product 1,Kenya
AC9690424,Area A,30,400,402,1/16/24,3,Product 1,Kenya
AC9692743,Area B,30,400,402,1/16/24,3,Product 1,Kenya
AC9692841,Area A,30,400,402,1/16/24,3,Product 1,Kenya
AC9700170,Area A,30,350,402,1/17/24,3,Product 1,Kenya
AC9701326,Area B,80,1900,578,1/17/24,3,Product 2,Kenya
AC9701515,Area A,30,400,402,1/17/24,3,Product 1,Kenya
AC9721536,Area A,30,400,402,1/21/24,3,Product 1,Kenya
AC9725328,Area B,60,950,402,1/22/24,3,Product 3,Kenya
AC9725538,Area A,30,400,402,1/22/24,3,Product 1,Kenya
AC9726766,Area A,30,400,402,1/22/24,3,Product 1,Kenya
AC9729565,Area B,60,1200,402,1/22/24,3,Product 3,Kenya
AC9730068,Area A,30,400,402,1/22/24,3,Product 1,Kenya
AC9731050,Area A,30,400,402,1/23/24,3,Product 1,Kenya
AC9735084,Area B,30,400,402,1/23/24,3,Product 1,Kenya
AC9742989,Area B,30,400,402,1/24/24,3,Product 1,Kenya
AC9749762,Area A,30,400,402,1/25/24,3,Product 1,Kenya
AC9753586,Area B,80,1900,578,1/26/24,3,Product 2,Kenya
AC9781273,Area A,30,400,402,1/30/24,3,Product 1,Kenya
AC9776593,Area A,40,750,402,1/30/24,3,Product 3,Kenya
AC9787712,Area B,80,1900,578,1/31/24,3,Product 2,Kenya
AC9791640,Area A,150,2600,683,2/1/24,3,Product 4,Kenya
AC9794758,Area B,30,400,402,2/1/24,3,Product 1,Kenya
AC9806998,Area B,30,400,402,2/2/24,3,Product 1,Kenya
AC9810780,Area B,30,400,402,2/3/24,3,Product 1,Kenya
AC9812633,Area A,30,400,402,2/3/24,3,Product 1,Kenya
AC9814260,Area B,110,3000,381,2/4/24,3,Product 5,Kenya
AC9835744,Area A,30,400,409,2/7/24,3,Product 1,Kenya
AC9839607,Area B,80,1900,578,2/7/24,3,Product 2,Kenya
AC9839892,Area A,90,2450,381,2/7/24,3,Product 5,Kenya
AC9843470,Area A,90,2450,381,2/8/24,3,Product 5,Kenya
AC9846077,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9847016,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9847631,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9850795,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9847616,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9849284,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9852060,Area A,30,400,409,2/9/24,3,Product 1,Kenya
AC9852365,Area A,30,400,409,2/9/24,3,Product 1,Kenya
AC9854242,Area B,80,1900,578,2/9/24,3,Product 2,Kenya
AC9870396,Area A,30,400,409,2/11/24,3,Product 1,Kenya
AC9869796,Area A,30,400,409,2/11/24,3,Product 1,Kenya
AC9874560,Area A,30,400,409,2/12/24,3,Product 1,Kenya
AC9879945,Area A,30,400,409,2/12/24,3,Product 1,Kenya
AC9881041,Area A,30,400,409,2/12/24,3,Product 1,Kenya
AC9894736,Area B,90,2450,381,2/14/24,3,Product 5,Kenya
AC9899345,Area A,30,400,409,2/14/24,3,Product 1,Kenya
AC9901871,Area A,30,400,409,2/15/24,3,Product 1,Kenya
AC9906174,Area A,80,1900,578,2/15/24,3,Product 2,Kenya
AC9904006,Area A,30,400,409,2/15/24,3,Product 1,Kenya
AC9917203,Area A,30,400,409,2/16/24,3,Product 1,Kenya
AC9916658,Area A,30,400,409,2/16/24,3,Product 1,Kenya
AC9921770,Area A,60,850,409,2/17/24,3,Product 3,Kenya
AC9921783,Area B,30,400,409,2/17/24,3,Product 1,Kenya
AC9928513,Area B,30,400,409,2/18/24,3,Product 1,Kenya
AC9927386,Area B,30,400,409,2/18/24,3,Product 1,Kenya
AC9932276,Area A,30,400,409,2/19/24,3,Product 1,Kenya
AC9947221,Area A,30,400,409,2/20/24,3,Product 1,Kenya
AC9949787,Area A,30,400,409,2/21/24,3,Product 1,Kenya
AC9950043,Area B,30,400,409,2/21/24,3,Product 1,Kenya
AC9950255,Area A,30,300,409,2/21/24,3,Product 1,Kenya
AC9957053,Area A,30,400,409,2/21/24,3,Product 1,Kenya
AC9957304,Area A,30,400,409,2/21/24,3,Product 1,Kenya
AC9968192,Area A,30,400,409,2/23/24,3,Product 1,Kenya
AC9971866,Area A,30,400,409,2/23/24,3,Product 1,Kenya
AC9981174,Area A,40,750,402,2/24/24,3,Product 3,Kenya
AC9982662,Area A,30,400,409,2/25/24,3,Product 1,Kenya
AC9983047,Area B,30,400,409,2/25/24,3,Product 1,Kenya
AC9985261,Area A,30,400,409,2/25/24,3,Product 1,Kenya
AC9991363,Area B,30,400,409,2/26/24,3,Product 1,Kenya
AC9992349,Area A,30,400,409,2/26/24,3,Product 1,Kenya
AC9994929,Area A,30,400,409,2/27/24,3,Product 1,Kenya
AC9996905,Area B,30,400,409,2/27/24,3,Product 1,Kenya
AC9401465,Area B,60,950,402,12/1/23,3,Product 3,Kenya
AC9408632,Area A,30,400,402,12/2/23,3,Product 1,Kenya
AC9419285,Area A,30,400,402,12/4/23,3,Product 1,Kenya
AC9420057,Area A,30,400,402,12/4/23,3,Product 1,Kenya
AC9427542,Area A,60,1200,402,12/5/23,3,Product 3,Kenya
AC9432350,Area A,30,400,402,12/6/23,3,Product 1,Kenya
AC9435013,Area A,30,400,402,12/6/23,3,Product 1,Kenya
AC9438472,Area A,30,400,402,12/7/23,3,Product 1,Kenya
AC9440769,Area A,30,400,402,12/7/23,3,Product 1,Kenya
AC9445555,Area A,30,400,402,12/8/23,3,Product 1,Kenya
AC9447744,Area B,30,400,402,12/8/23,3,Product 1,Kenya
AC9454036,Area B,70,1300,402,12/9/23,3,Product 3,Kenya
AC9454774,Area A,60,950,402,12/9/23,3,Product 3,Kenya
AC9456184,Area A,30,400,402,12/9/23,3,Product 1,Kenya
AC9452591,Area A,60,950,428,12/9/23,3,Product 6,Kenya
AC9457942,Area A,30,400,402,12/10/23,3,Product 1,Kenya
AC9463192,Area A,80,1900,53,12/11/23,3,Product 2,Kenya
AC9474437,Area A,30,400,402,12/12/23,3,Product 1,Kenya
AC9481026,Area A,30,400,402,12/13/23,3,Product 1,Kenya
AC9497639,Area A,60,950,402,12/15/23,3,Product 3,Kenya
AC9495696,Area A,30,400,402,12/15/23,3,Product 1,Kenya
AC9498582,Area A,30,400,402,12/16/23,3,Product 1,Kenya
AC9499683,Area A,30,400,402,12/16/23,3,Product 1,Kenya
AC9520615,Area B,80,1900,578,12/19/23,3,Product 2,Kenya
AC9520980,Area A,30,400,402,12/19/23,3,Product 1,Kenya
AC9536338,Area B,30,400,402,12/21/23,3,Product 1,Kenya
AC9537875,Area A,30,400,402,12/21/23,3,Product 1,Kenya
AC9538825,Area A,30,400,402,12/22/23,3,Product 1,Kenya
AC9547174,Area A,80,1900,578,12/23/23,3,Product 2,Kenya
AC9556642,Area A,30,400,402,12/24/23,3,Product 1,Kenya
AC9560133,Area B,60,1200,402,12/25/23,3,Product 3,Kenya
AC9567764,Area A,30,400,402,12/26/23,3,Product 1,Kenya
AC9565212,Area A,30,400,402,12/26/23,3,Product 1,Kenya
AC9568480,Area A,30,400,402,12/27/23,3,Product 1,Kenya
AC9572413,Area A,160,6400,543,12/27/23,3,Product 7,Kenya
AC9575376,Area A,30,400,402,12/28/23,3,Product 1,Kenya
AC9575427,Area A,30,400,402,12/28/23,3,Product 1,Kenya
AC9583315,Area B,60,950,402,12/29/23,3,Product 3,Kenya
AC9597401,Area A,30,400,402,12/31/23,3,Product 1,Kenya
AC9600406,Area B,30,400,402,1/1/24,3,Product 1,Kenya
AC9614909,Area A,30,400,402,1/4/24,3,Product 1,Kenya
AC9615048,Area A,30,400,402,1/4/24,3,Product 1,Kenya
AC9615623,Area A,80,1900,578,1/4/24,3,Product 2,Kenya
AC9618672,Area A,30,400,402,1/4/24,3,Product 1,Kenya
AC9621905,Area B,30,400,402,1/5/24,3,Product 1,Kenya
AC9630248,Area A,30,400,402,1/6/24,3,Product 1,Kenya
AC9635994,Area A,30,400,402,1/7/24,3,Product 1,Kenya
AC9633440,Area B,70,1300,402,1/7/24,3,Product 3,Kenya
AC9636207,Area B,30,400,402,1/7/24,3,Product 1,Kenya
AC9634120,Area A,30,400,402,1/7/24,3,Product 1,Kenya
AC9638271,Area B,30,400,402,1/8/24,3,Product 1,Kenya
AC9642975,Area A,30,400,402,1/8/24,3,Product 1,Kenya
